Partlist

Exported from Aeternum_V1_2.sch at 07.03.2019 10:08

EAGLE Version 9.1.1 Copyright (c) 1988-2018 Autodesk, Inc.

Assembly variant: 

Part     Value              Device           Package                   Library                            Sheet
R34      10k                R-EU_0204/2V     0204V                     rcl                                5
S1       CP/M Reset         31-XX            B3F-31XX                  switch-omron                       1
S2       VT100 Reset        31-XX            B3F-31XX                  switch-omron                       5
SP1      RMP-14SP           KSS1201          KSS1201                   buzzer                             5
SV1      ISP                ML6              ML6                       con-harting-ml                     1
SV2      GPIO 3.3V Port     ML10L            ML10L                     con-harting-ml                     2
SV3      I2C Bus            ML10L            ML10L                     con-harting-ml                     3
SW1      Mode Switch        SW_DIP-6         EDG-06                    special                            4
SW2      Mode Switch        SW_DIP-3         EDG-03                    special                            4
U1       MCP23017-E/SP      MCP23017-E/SP    DIP793W45P254L3556H508Q28 I2C_AMESYS                         3
X1       DE9 Male           M09HP            M09HP                     con-subd                           2
X2       DE25 Female        F25H             F25H                      con-subd                           3
X3       USB-B              PN61729-S        PN61729-S                 con-berg                           4
X4       PG203J             PG203J           PG203J                    con-hirschmann                     5
X5       DB-15 female       HF15H            HDF15H                    con-subd                           5
X6       Mini-DIN 6 pol     MDSSV-BC06       SSV-BC06                  con-yamaichi                       5
